article	one	students	which	company	million	this	according	games	will	been	i	popular	other	after	technology	years	phone	about	now	were	some	parents	year	international	also	its	are	two	first	chinese	th	be	universities	become	their	there	people	education	time	an	than	have	or	can	market	fitness	who	more	beijing	they	government	by	world	up	group	team	it	he	was	new	like	drivers
Edu2.txt	0	7	3	0	0	1	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	3	0	0	3	0	0	7	4	1	7	0	3	0	0	6	0	1	2	2	1	1	0	0	1	2	0	0	0	3	3	0	0	0	0	0	0	1	1	0
Culture4.txt	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	4	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	2	0	0	5	1	0	0	1	0	0	1	1	0	0
Tech5.txt	1	0	2	3	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	5	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	2	0	0	1	0	0	0	0	2	0	0	2	0	0
Business1.txt	1	0	0	0	0	1	0	0	4	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	0	2	2	0	1	0	2	0	0	0	0	4	0	1	2	1	3	3	0	0	0	0	6	0	0	2	3	0	0	0	0	1	1	0	0	0	0
Tech3.txt	0	0	1	1	0	0	0	0	6	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	1	0	3	0	1	1	0	1	0	1	0	0	0	0	0	2	0	1	0	0
Sport2.txt	1	0	0	0	0	0	0	2	0	1	11	0	0	4	0	1	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	2	1	0	0	0	4	2	5	0	0	0
Edu1.txt	1	0	0	0	0	2	0	0	2	1	0	0	1	0	0	3	0	0	0	0	0	0	5	2	2	1	3	1	2	3	2	4	6	1	0	3	0	4	2	2	1	2	2	4	0	0	0	3	0	0	1	1	4	2	0	0	1	3	0	2	0	0
Business5.txt	3	0	2	0	2	1	1	0	1	3	1	2	2	2	1	2	0	2	2	0	2	0	0	1	1	2	6	1	1	1	0	1	0	4	0	3	3	0	0	2	3	4	0	1	8	9	2	7	0	1	1	3	3	3	2	0	4	0	1	0	4	2
Edu5.txt	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	4	0	0	10	0	0	1	1	4	0	1	4	0	2	2	2	0	0	0	0	1	5	1	1	0	1	0	1	0	0	1	0	0	0	0	0
Tech4.txt	0	0	1	1	0	0	0	0	1	0	0	2	2	0	0	0	3	2	0	0	1	0	0	0	3	4	4	0	0	2	0	1	0	0	3	1	2	0	1	0	0	0	2	1	2	0	2	0	1	4	0	2	2	1	1	0	0	1	1	0	1	3
Culture1.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0
Business2.txt	2	0	0	0	0	2	2	0	2	0	0	0	0	1	0	2	0	0	0	2	0	0	4	0	0	1	1	6	1	0	0	2	0	0	0	0	1	0	0	1	2	0	2	0	6	0	0	2	0	0	2	1	0	2	0	0	0	0	0	6	0	0
Culture3.txt	3	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	5	3	3	0	0	1	0	0	0	1	2	1	1	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0
Tech2.txt	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	2	0	3	1	0	0	0	1	0	3	2	1	2	4	0	0	0	1	1	0	0	0	0	0	2	2	0	0	4	0	1	1	0	0	1	3	4	1	1	0	1	0	1	0	2	0
Edu4.txt	1	8	0	0	0	0	1	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	2	6	1	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0
Culture5.txt	0	0	1	0	0	0	1	0	4	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	5	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0
Edu3.txt	0	5	1	0	0	1	0	0	3	0	0	0	1	1	0	1	0	1	0	0	1	2	1	0	0	0	6	1	2	0	0	1	0	0	4	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	2	1	0	0
Sport1.txt	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	2	1	4	0	0	0	0	2	0	1	0	1	1	1	1	0	1	0	0	0	1	0	2	0	0	3	1	3	2	1	1	0	0	0	0
Sport5.txt	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	1	2	3	1	0	4	0	0	0	1	0	0	1	3	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Business4.txt	3	0	2	0	2	1	1	0	1	3	1	2	2	2	1	2	0	2	2	0	2	0	0	1	1	2	6	1	1	1	0	1	0	4	0	3	3	0	0	2	3	4	0	1	8	9	2	7	0	1	1	3	3	3	2	0	4	0	1	0	4	2
Tech1.txt	0	0	0	2	0	0	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	2	0	0	2	0	1	0	0
Sport4.txt	0	0	0	0	0	4	0	5	1	0	2	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	3	2	0	1	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	7	1	0	3	1	0	3	0	1	0
Business3.txt	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	4	0	0	0	1	0	0	0	2	0	3	0	3	5	0	0	0	0	1	1	3	0	0	0	0	2	1	1	0	0	0
